Date,Region,Department,Treatment_Type,Number_of_Patients,Treatment_Cost,Total_Revenue,Expense,Profit,Year,Currency,Payment_Method,Month,Month_Name,Profit_Margin,Cost_Per_Patient
2023-08-20,East,Emergency,Surgery,12,183.82,2205.84,1521.0,684.8400000000001,2023,USD,Online Payment,8,August,0.3105,126.75
2024-01-29,East,Cardiology,Diagnostics,28,3102.85,86879.8,46145.89,40733.91,2024,EUR,Online Payment,1,January,0.4689,1648.07
2024-10-03,West,Cardiology,Diagnostics,24,3385.26,81246.24,50334.6,30911.64000000001,2024,EUR,Cash,10,October,0.3805,2097.28
2024-09-04,South,General Medicine,Therapy,1,1177.62,1177.62,648.85,528.7699999999999,2024,USD,Online Payment,9,September,0.449,648.85
2023-01-25,South,Cardiology,Consultation,1,3495.11,3495.11,2951.31,543.8000000000002,2023,INR,Online Payment,1,January,0.1556,2951.31
2024-09-12,East,Emergency,Surgery,26,3402.22,88457.72,66701.38,21756.34,2024,EUR,Insurance,9,September,0.246,2565.44
2023-09-06,North,Cardiology,Consultation,22,4236.33,93199.26,67893.56,25305.7,2023,USD,Online Payment,9,September,0.2715,3086.07
2023-09-06,North,Oncology,Therapy,23,4135.08,95106.84,60107.2,34999.64,2023,USD,Online Payment,9,September,0.368,2613.36
2023-05-06,East,Oncology,Medication,27,3648.28,98503.56,86595.06,11908.5,2023,INR,Online Payment,5,May,0.1209,3207.22
2024-12-27,North,General Medicine,Consultation,36,777.91,28004.76,21546.45,6458.309999999998,2024,INR,Insurance,12,December,0.2306,598.51
2024-12-17,West,Pediatrics,Consultation,47,1651.92,77640.24,59852.51,17787.73,2024,EUR,Cash,12,December,0.2291,1273.46
2024-01-12,West,Oncology,Medication,29,4754.89,137891.81,102830.33,35061.48,2024,INR,Insurance,1,January,0.2543,3545.87
2023-03-24,South,Cardiology,Consultation,32,4815.86,154107.52,108469.49,45638.02999999998,2023,INR,Insurance,3,March,0.2961,3389.67
2023-05-27,South,Pediatrics,Medication,26,3559.54,92548.04,78283.16,14264.87999999999,2023,EUR,Insurance,5,May,0.1541,3010.89
2023-04-06,East,Orthopedics,Medication,20,2995.17,59903.4,44257.75,15645.65,2023,EUR,Online Payment,4,April,0.2612,2212.89
2023-07-07,North,Orthopedics,Diagnostics,22,1570.73,34556.06,29467.05,5089.009999999998,2023,EUR,Cash,7,July,0.1473,1339.41
2023-11-30,North,Oncology,Diagnostics,37,1060.7,39245.9,31386.4,7859.5,2023,INR,Cash,11,November,0.2003,848.28
2024-08-03,South,Oncology,Surgery,49,4655.83,228135.67,170173.46,57962.21000000002,2024,EUR,Online Payment,8,August,0.2541,3472.93
2024-07-13,South,Oncology,Therapy,32,2777.17,88869.44,57078.9,31790.54,2024,INR,Cash,7,July,0.3577,1783.72
2024-04-21,East,Pediatrics,Consultation,8,1190.0,9520.0,7488.35,2031.65,2024,INR,Online Payment,4,April,0.2134,936.04
2024-09-20,South,Cardiology,Therapy,37,1206.54,44641.98,38281.08,6360.900000000001,2024,USD,Insurance,9,September,0.1425,1034.62
2024-11-16,South,General Medicine,Surgery,38,3976.04,151089.52,111900.61,39188.90999999999,2024,INR,Online Payment,11,November,0.2594,2944.75
2024-09-25,South,Pediatrics,Consultation,15,4676.62,70149.3,59968.18,10181.12,2024,USD,Online Payment,9,September,0.1451,3997.88
2023-01-21,East,General Medicine,Diagnostics,20,947.35,18947.0,9870.9,9076.1,2023,USD,Online Payment,1,January,0.479,493.54
2023-10-20,West,General Medicine,Diagnostics,21,4060.48,85270.08,49577.31,35692.77,2023,USD,Online Payment,10,October,0.4186,2360.82
2024-09-03,South,Emergency,Therapy,8,3169.9,25359.2,14928.86,10430.34,2024,USD,Online Payment,9,September,0.4113,1866.11
2023-09-27,East,Emergency,Therapy,32,2740.09,87682.88,52527.62,35155.26,2023,EUR,Insurance,9,September,0.4009,1641.49
