Date,Region,Department,Treatment_Type,Number_of_Patients,Treatment_Cost,Total_Revenue,Expense,Profit,Year,Currency,Payment_Method,Month,Month_Name,Profit_Margin,Cost_Per_Patient
20-08-2023,East,Emergency,Surgery,12,15257.06,183084.72,126243,56841.72,2023,USD,Online Payment,8,August,0.3105,10520.25
29-01-2024,East,Cardiology,Diagnostics,28,279256.5,7819182,4153130.1,3666051.9,2024,EUR,Online Payment,1,January,0.4689,148326.08
03-10-2024,West,Cardiology,Diagnostics,24,304673.4,7312161.6,4530114,2782047.6,2024,EUR,Cash,10,October,0.3805,188754.75
04-09-2024,South,General Medicine,Therapy,1,97742.46,97742.46,53854.55,43887.91,2024,USD,Online Payment,9,September,0.449,53854.55
25-01-2023,South,Cardiology,Consultation,1,3495.11,3495.11,2951.31,543.8,2023,INR,Online Payment,1,January,0.1556,2951.31
12-09-2024,East,Emergency,Surgery,26,306199.8,7961194.8,6003124.2,1958070.6,2024,EUR,Insurance,9,September,0.246,230889.39
06-09-2023,North,Cardiology,Consultation,22,351615.39,7735538.58,5635165.48,2100373.1,2023,USD,Online Payment,9,September,0.2715,256143.89
06-09-2023,North,Oncology,Therapy,23,343211.64,7893867.72,4988897.6,2904970.12,2023,USD,Online Payment,9,September,0.368,216908.59
06-05-2023,East,Oncology,Medication,27,3648.28,98503.56,86595.06,11908.5,2023,INR,Online Payment,5,May,0.1209,3207.22
27-12-2024,North,General Medicine,Consultation,36,777.91,28004.76,21546.45,6458.31,2024,INR,Insurance,12,December,0.2306,598.51
17-12-2024,West,Pediatrics,Consultation,47,148672.8,6987621.6,5386725.9,1600895.7,2024,EUR,Cash,12,December,0.2291,114611.19
12-01-2024,West,Oncology,Medication,29,4754.89,137891.81,102830.33,35061.48,2024,INR,Insurance,1,January,0.2543,3545.87
24-03-2023,South,Cardiology,Consultation,32,4815.86,154107.52,108469.49,45638.03,2023,INR,Insurance,3,March,0.2961,3389.67
27-05-2023,South,Pediatrics,Medication,26,320358.6,8329323.6,7045484.4,1283839.2,2023,EUR,Insurance,5,May,0.1541,270980.17
06-04-2023,East,Orthopedics,Medication,20,269565.3,5391306,3983197.5,1408108.5,2023,EUR,Online Payment,4,April,0.2612,199159.88
07-07-2023,North,Orthopedics,Diagnostics,22,141365.7,3110045.4,2652034.5,458010.9,2023,EUR,Cash,7,July,0.1473,120547.02
30-11-2023,North,Oncology,Diagnostics,37,1060.7,39245.9,31386.4,7859.5,2023,INR,Cash,11,November,0.2003,848.28
03-08-2024,South,Oncology,Surgery,49,419024.7,20532210.3,15315611.4,5216598.9,2024,EUR,Online Payment,8,August,0.2541,312563.5
13-07-2024,South,Oncology,Therapy,32,2777.17,88869.44,57078.9,31790.54,2024,INR,Cash,7,July,0.3577,1783.72
21-04-2024,East,Pediatrics,Consultation,8,1190,9520,7488.35,2031.65,2024,INR,Online Payment,4,April,0.2134,936.04
20-09-2024,South,Cardiology,Therapy,37,100142.82,3705284.34,3177329.64,527954.7,2024,USD,Insurance,9,September,0.1425,85873.77
16-11-2024,South,General Medicine,Surgery,38,3976.04,151089.52,111900.61,39188.91,2024,INR,Online Payment,11,November,0.2594,2944.75
25-09-2024,South,Pediatrics,Consultation,15,388159.46,5822391.9,4977358.94,845032.96,2024,USD,Online Payment,9,September,0.1451,331823.93
21-01-2023,East,General Medicine,Diagnostics,20,78630.05,1572601,819284.7,753316.3,2023,USD,Online Payment,1,January,0.479,40964.24
20-10-2023,West,General Medicine,Diagnostics,21,337019.84,7077416.64,4114916.73,2962499.91,2023,USD,Online Payment,10,October,0.4186,195948.42
03-09-2024,South,Emergency,Therapy,8,263101.7,2104813.6,1239095.38,865718.22,2024,USD,Online Payment,9,September,0.4113,154886.92
27-09-2023,East,Emergency,Therapy,32,246608.1,7891459.2,4727485.8,3163973.4,2023,EUR,Insurance,9,September,0.4009,147733.93
30-09-2024,East,Oncology,Medication,20,219114.19,4382283.8,3409842.52,972441.28,2024,USD,Online Payment,9,September,0.2219,170492.13
08-02-2023,South,Emergency,Therapy,14,310931.1,4353035.4,3595969.8,757065.6,2023,EUR,Online Payment,2,February,0.1739,256854.99
09-10-2024,West,Pediatrics,Therapy,19,1453.41,27614.79,21541.87,6072.92,2024,INR,Cash,10,October,0.2199,1133.78
10-07-2024,South,Orthopedics,Therapy,41,28474.2,1167442.2,624141,543301.2,2024,EUR,Insurance,7,July,0.4654,15222.95
14-03-2023,South,Emergency,Therapy,33,60908.4,2009977.2,1102953.6,907023.6,2023,EUR,Cash,3,March,0.4513,33422.84
09-05-2023,North,General Medicine,Surgery,43,3436.6,147773.8,131547.8,16226,2023,INR,Online Payment,5,May,0.1098,3059.25
05-11-2023,East,Oncology,Medication,33,289634.31,9557932.23,7621781.27,1936150.96,2023,USD,Cash,11,November,0.2026,230963.07
29-05-2024,West,General Medicine,Medication,6,269337.49,1616024.94,1391258.45,224766.49,2024,USD,Insurance,5,May,0.1391,231876.41
10-02-2024,West,General Medicine,Surgery,46,335859.5,15449537,13238937.41,2210599.59,2024,USD,Cash,2,February,0.1431,287802.99
11-12-2024,North,Orthopedics,Therapy,45,491.4,22113,11807.94,10305.06,2024,INR,Online Payment,12,December,0.466,262.4
27-01-2024,West,Oncology,Surgery,42,196048.49,8234036.58,5222192.34,3011844.24,2024,USD,Insurance,1,January,0.3658,124337.91
13-07-2023,North,Pediatrics,Surgery,5,4583.07,22915.35,14250.68,8664.67,2023,INR,Cash,7,July,0.3781,2850.14
30-08-2023,South,Pediatrics,Surgery,47,260.95,12264.65,9688.11,2576.54,2023,INR,Online Payment,8,August,0.2101,206.13
11-02-2024,North,Orthopedics,Therapy,37,2741.31,101428.47,58931.19,42497.28,2024,INR,Cash,2,February,0.419,1592.73
02-11-2023,West,General Medicine,Medication,49,205265.7,10058019.3,6867331.2,3190688.1,2023,EUR,Cash,11,November,0.3172,140149.62
25-05-2024,North,Cardiology,Consultation,14,3401.81,47625.34,28484.99,19140.35,2024,INR,Online Payment,5,May,0.4019,2034.64
28-10-2023,South,Emergency,Therapy,26,449858.7,11696326.2,7441919.1,4254407.1,2023,EUR,Cash,10,October,0.3637,286227.66
26-01-2023,West,Orthopedics,Therapy,12,2359.9,28318.8,18169.77,10149.03,2023,INR,Cash,1,January,0.3584,1514.15
18-12-2023,North,Emergency,Medication,8,144.61,1156.88,623.71,533.17,2023,INR,Insurance,12,December,0.4609,77.96
06-06-2024,South,Pediatrics,Consultation,44,403120.21,17737289.24,11327688.94,6409600.3,2024,USD,Insurance,6,June,0.3614,257447.48
23-12-2024,West,Emergency,Diagnostics,45,120956.4,5443038,4736502,706536,2024,EUR,Online Payment,12,December,0.1298,105255.6
07-09-2024,North,Orthopedics,Medication,32,196314.3,6282057.6,4259713.5,2022344.1,2024,EUR,Cash,9,September,0.3219,133116.05
19-01-2024,West,Orthopedics,Therapy,36,2975.41,107114.76,76663.12,30451.64,2024,INR,Cash,1,January,0.2843,2129.53
15-12-2024,South,Emergency,Consultation,37,322757.12,11942013.44,9099180.44,2842833,2024,USD,Cash,12,December,0.2381,245923.8
11-09-2024,East,General Medicine,Medication,27,93132,2514564,1573288.2,941275.8,2024,EUR,Online Payment,9,September,0.3743,58269.93
27-09-2023,South,Orthopedics,Surgery,16,129867.3,2077876.8,1190183.4,887693.4,2023,EUR,Cash,9,September,0.4272,74386.46
19-11-2024,West,General Medicine,Diagnostics,50,416400.3,20820015,12884550.3,7935464.7,2024,EUR,Online Payment,11,November,0.3811,257691.01
26-06-2024,North,Emergency,Consultation,17,31369.85,533287.45,346389.71,186897.74,2024,USD,Insurance,6,June,0.3505,20375.87
04-10-2023,East,Emergency,Diagnostics,21,145366.2,3052690.2,2401307.03,651383.17,2023,USD,Cash,10,October,0.2134,114347.95
03-12-2023,East,General Medicine,Diagnostics,37,362336.4,13406446.8,8058647.7,5347799.1,2023,EUR,Cash,12,December,0.3989,217801.29
28-04-2023,North,Oncology,Surgery,6,196495.86,1178975.16,811666.96,367308.2,2023,USD,Cash,4,April,0.3115,135277.83
08-06-2023,East,Orthopedics,Consultation,14,253416.6,3547832.4,2577566.7,970265.7,2023,EUR,Cash,6,June,0.2735,184111.91
27-01-2023,North,Orthopedics,Surgery,10,349506.9,3495069,2512188.9,982880.1,2023,EUR,Insurance,1,January,0.2812,251218.89
02-12-2023,East,Cardiology,Diagnostics,23,405771.3,9332739.9,6838147.8,2494592.1,2023,EUR,Cash,12,December,0.2673,297310.77
23-06-2024,South,Oncology,Diagnostics,9,325.4,2928.6,1940.21,988.39,2024,INR,Insurance,6,June,0.3375,215.58
19-02-2024,North,Cardiology,Medication,40,77376.75,3095070,2132226.84,962843.16,2024,USD,Online Payment,2,February,0.3111,53305.67
22-02-2023,East,General Medicine,Consultation,10,285930.9,2859309,2055841.2,803467.8,2023,EUR,Cash,2,February,0.281,205584.12
25-09-2023,West,Emergency,Consultation,44,55557,2444508,1817122.5,627385.5,2023,EUR,Cash,9,September,0.2567,41298.24
02-08-2023,West,Pediatrics,Therapy,12,2857.87,34294.44,29481.28,4813.16,2023,INR,Insurance,8,August,0.1403,2456.77
09-07-2023,South,General Medicine,Medication,37,186068.57,6884537.09,5417052.27,1467484.82,2023,USD,Cash,7,July,0.2132,146406.82
11-10-2023,West,Oncology,Consultation,1,332535.6,332535.6,180596.7,151938.9,2023,EUR,Cash,10,October,0.4569,180596.7
06-11-2024,West,General Medicine,Surgery,27,2199.8,59394.6,43521.62,15872.98,2024,INR,Cash,11,November,0.2672,1611.91
